id,name,nameShortened
757013,"Intel Extreme Masters Chengdu 2024: Oceanic Qualifier","Intel Extreme Master"
757018,"ESL One Birmingham 2024: Western Europe Open Qualifier #1","ESL One Birmingham 2"
757019,"ESL One Birmingham 2024: Eastern Europe Open Qualifier #1","ESL One Birmingham 2"
757020,"Intel Extreme Masters Chengdu 2024: Asian Open Qualifier #1","Intel Extreme Master"
757022,"ESL One Birmingham 2024: South America Open Qualifier #1","ESL One Birmingham 2"
757023,"ESL One Birmingham 2024: MENA Closed Qualifier","ESL One Birmingham 2"
757024,"ESL One Birmingham 2024: Eastern Europe Closed Qualifier","ESL One Birmingham 2"
757025,"ESL One Birmingham 2024: Southeast Asia Closed Qualifier","ESL One Birmingham 2"
757026,"ESL One Birmingham 2024: North America Closed Qualifier","ESL One Birmingham 2"
757028,"ESL One Birmingham 2024: Southeast Asia Open Qualifier #2","ESL One Birmingham 2"
757034,"Intel Extreme Masters Chengdu 2024: Asian Open Qualifier #2","Intel Extreme Master"
757035,"ESL One Birmingham 2024: Eastern Europe Open Qualifier #2","ESL One Birmingham 2"
757036,"ESL One Birmingham 2024: Western Europe Open Qualifier #2","ESL One Birmingham 2"
757037,"ESL One Birmingham 2024: China Open Qualifier #2","ESL One Birmingham 2"
757038,"ESL One Birmingham 2024: South America Open Qualifier #2","ESL One Birmingham 2"
757039,"ESL One Birmingham 2024: China Closed Qualifier","ESL One Birmingham 2"
757040,"ESL One Birmingham 2024: Western Europe Closed Qualifier","ESL One Birmingham 2"
757042,"Gamers Club Liga Série A: January 2024 Playoffs","Gamers Club Liga Série A"
757043,"PGL Major Copenhagen 2024: Middle Eastern Qualifier","PGL Major Copenhagen"
757048,"ESL One Birmingham 2024: MENA Open Qualifier #2","ESL One Birmingham 2"
757049,"ESL One Birmingham 2024: South America Closed Qualifier","ESL One Birmingham 2"
757050,"Intel Extreme Masters Chengdu 2024: Asian Qualifier","Intel Extreme Master"
757052,"YaLLa Compass Spring 2024","YaLLa Compass Spring"
757055,"Intel Extreme Masters Katowice 2024","Intel Extreme Master"
757056,"ESL Impact Cash Cup: North America - Winter 2024 #2","ESL Impact Cash Cup:"
757057,"ESL Impact Cash Cup: Europe - Winter 2024 #2","ESL Impact Cash Cup:"
757062,"5E Arena Asia Cup Spring 2024","5E Arena Asia Cup Sp"
757069,"Intel Extreme Masters Chengdu 2024: European Open Qualifier #2","Intel Extreme Master"
757071,"Ace South American Masters Spring 2024","Ace South American M"
757077,"Ace North American Masters Spring 2024","Ace North American M"
757081,"MESA Champions Winter 2023-2024","MESA Champions Winte"
757082,"RTP Arena Cup 2024","RTP Arena Cup 2024"
757083,"BetBoom Dacha Dubai 2024","BetBoom Dacha Dubai "
757089,"Pelaajat.com Series Spring 2024: Nordic Open Qualifier #1","Pelaajat.com Series "
757090,"Pelaajat.com Series Spring 2024","Pelaajat.com Series "
757091,"Pelaajat.com Series Spring 2024: Nordic Open Qualifier #2","Pelaajat.com Series "
757092,"Dubai Police Esports Tournament: SWAT Edition 2024","Dubai Police Esports"
757093,"ESL Impact Cash Cup: South America - Winter 2024 #3","ESL Impact Cash Cup:"
757094,"ESL Impact Cash Cup: North America - Winter 2024 #3","ESL Impact Cash Cup:"
757095,"ESL Impact Cash Cup: Europe - Winter 2024 #3","ESL Impact Cash Cup:"
